"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"2592","Atlanta, GA","Indianapolis, IN","Gold",66,"Male",1,2005,31,-0.55,"Mileage tickets",0,120,45,"Eco",7,"1/7/14","FL","FlyHere Airways","Indiana","Georgia",6,NA,NA,"Yes",NA,432,7,-86.1455,39.8113,-84.3319,33.8241,NA
"2593","Seattle, WA","Sacramento, CA","Silver",35,"Male",1,2003,3,0.4545,"Business travel",3,0,25,"Eco",31,"3/31/14","AS","FlyToSun Airlines Inc.","California","Washington",19,0,0,"No",80,605,9,-121.3247,38.6386,-122.2747,47.4684,NA
"2594","Salt Lake City, UT","Atlanta, GA","Blue",63,"Male",1,2011,17,-0.5455,"Personal Travel",0,0,60,"Eco",13,"3/13/14","DL","Sigma Airlines Inc.","Georgia","Utah",10,0,0,"No",223,1590,7,-84.3319,33.8241,-111.9295,40.6408,NA
"2595","San Francisco, CA","Boston, MA","Silver",24,"Female",2,2008,16,-0.4545,"Business travel",0,10,90,"Business",24,"2/24/14","OU","Oursin Airlines Inc.","Massachusetts","California",18,0,0,"No",370,2704,10,-71.1407,42.3731,-122.1585,37.6712,NA
"2596","Orlando, FL","Baltimore, MD","Blue",74,"Male",1,2006,17,-0.619,"Personal Travel",0,0,60,"Eco",2,"3/2/14","WN","Cheapseats Airlines Inc.","Maryland","Florida",14,3,0,"No",114,787,4,-76.6478,39.2341,-81.4112,28.5844,NA
"2597","Dallas, TX","Amarillo, TX","Silver",44,"Female",2,2007,8,0.6364,"Personal Travel",1,0,105,"Eco",25,"1/25/14","WN","Cheapseats Airlines Inc.","Texas","Texas",17,40,34,"No",48,323,6,-101.8491,35.1975,-96.972,32.8127,NA
"2598","Corpus Christi, TX","Houston, TX","Blue",57,"Male",1,2007,38,-0.6889,"Business travel",0,130,110,"Eco",12,"1/12/14","WN","Cheapseats Airlines Inc.","Texas","Texas",13,0,0,"No",36,187,8,-95.3935,29.7843,-97.4126,27.7453,NA
"2599","Indianapolis, IN","Atlanta, GA","Platinum",63,"Female",1,2008,10,0.1667,"Business travel",1,105,180,"Eco Plus",14,"1/14/14","DL","Sigma Airlines Inc.","Georgia","Indiana",13,0,0,"No",61,432,8,-84.3319,33.8241,-86.1455,39.8113,NA
"2600","Tulsa, OK","Houston, TX","Silver",53,"Female",1,2010,19,-0.7273,"Mileage tickets",0,90,5,"Eco",13,"1/13/14","EV","FlyFast Airways Inc.","Texas","Oklahoma",19,0,5,"No",70,429,4,-95.3935,29.7843,-95.9013,36.1054,NA
"2601","Atlanta, GA","Hartford, CT","Blue",71,"Male",2,2012,32,-0.6842,"Personal Travel",0,0,30,"Eco",23,"2/23/14","DL","Sigma Airlines Inc.","Connecticut","Georgia",18,0,0,"No",137,859,2,-72.6988,41.7401,-84.3319,33.8241,NA
"2602","Springfield, MO","Atlanta, GA","Blue",66,"Male",2,2006,27,-0.6875,"Personal Travel",0,0,45,"Eco",7,"3/7/14","EV","FlyFast Airways Inc.","Georgia","Missouri",10,51,39,"No",90,563,3,-84.3319,33.8241,-93.2871,37.1489,NA
"2603","Cincinnati, OH","Miami, FL","Blue",38,"Female",2,2006,13,-0.1304,"Business travel",2,120,30,"Eco",27,"2/27/14","MQ","EnjoyFlying Air Services","Florida","Kentucky",9,4,0,"No",135,948,8,-80.2314,26.1756,-84.462,39.1855,NA
"2604","Atlanta, GA","Roanoke, VA","Silver",22,"Female",1,2005,14,-0.4,"Business travel",0,15,75,"Eco",4,"3/4/14","EV","FlyFast Airways Inc.","Virginia","Georgia",17,0,0,"No",64,357,8,-79.9763,37.2908,-84.3319,33.8241,NA
"2605","Tulsa, OK","Chicago, IL","Blue",38,"Female",2,2003,4,-0.1429,"Business travel",0,0,30,"Eco Plus",4,"1/4/14","MQ","EnjoyFlying Air Services","Illinois","Oklahoma",14,59,81,"No",100,585,7,-87.8954,41.8271,-95.9013,36.1054,NA
"2606","Minneapolis, MN","Detroit, MI","Blue",20,"Male",1,2006,24,-0.4545,"Business travel",0,30,20,"Eco",28,"1/28/14","DL","Sigma Airlines Inc.","Michigan","Minnesota",17,NA,NA,"Yes",NA,528,7,-83.2276,42.49,-93.2798,44.9782,NA
"2607","Milwaukee, WI","Detroit, MI","Blue",60,"Female",1,2012,34,-0.5455,"Business travel",0,15,60,"Eco",31,"3/31/14","DL","Sigma Airlines Inc.","Michigan","Wisconsin",8,0,0,"No",41,237,9,-83.2276,42.49,-88.1005,43.0557,NA
"2608","Atlanta, GA","San Antonio, TX","Blue",49,"Female",1,2004,8,-0.6,"Business travel",0,0,55,"Eco",27,"1/27/14","DL","Sigma Airlines Inc.","Texas","Georgia",16,0,0,"No",102,874,7,-98.4754,29.5144,-84.3319,33.8241,NA
"2609","New York, NY","San Diego, CA","Silver",39,"Female",1,2004,7,0,"Business travel",2,30,0,"Eco",23,"1/23/14","B6","OnlyJets Airlines Inc.","California","New York",20,0,0,"No",261,2446,9,-117.1288,32.9287,-73.9702,40.7184,NA
"2610","Paducah, KY","Chicago, IL","Blue",57,"Male",1,2008,9,-0.8,"Business travel",0,0,60,"Eco",21,"3/21/14","OO","Northwest Business Airlines Inc.","Illinois","Kentucky",13,0,0,"No",50,342,9,-87.8954,41.8271,-88.6264,37.0541,NA
"2611","Atlanta, GA","Baltimore, MD","Gold",30,"Male",2,2009,16,-0.8824,"Business travel",0,0,150,"Business",22,"3/22/14","DL","Sigma Airlines Inc.","Maryland","Georgia",17,9,0,"No",84,577,9,-76.6478,39.2341,-84.3319,33.8241,NA
"2612","Kansas City, MO","Charlotte, NC","Blue",54,"Male",2,2005,21,-0.75,"Business travel",0,0,105,"Eco",19,"3/19/14","US","Southeast Airlines Co.","North Carolina","Missouri",16,0,7,"No",142,808,10,-80.8158,35.2497,-94.5949,39.0398,NA
"2613","New York, NY","Houston, TX","Blue",36,"Female",1,2010,2,0.9,"Business travel",1,15,30,"Eco",27,"2/27/14","WN","Cheapseats Airlines Inc.","Texas","New York",8,0,0,"No",171,1428,6,-95.3935,29.7843,-73.9702,40.7184,NA
"2614","Phoenix, AZ","Indianapolis, IN","Platinum",31,"Female",3,2012,0,1,"Business travel",2,0,25,"Eco",26,"1/26/14","US","Southeast Airlines Co.","Indiana","Arizona",5,0,0,"No",211,1488,7,-86.1455,39.8113,-111.97,33.4941,NA
"2615","Fayetteville, NC","Atlanta, GA","Silver",43,"Male",2,2004,29,-0.5263,"Business travel",0,2,5,"Eco",17,"3/17/14","DL","Sigma Airlines Inc.","Georgia","North Carolina",19,2,4,"No",46,331,8,-84.3319,33.8241,-78.9768,35.0526,NA
"2616","Hartford, CT","Minneapolis, MN","Blue",17,"Male",2,2004,21,-0.9091,"Personal Travel",3,0,30,"Eco",18,"1/18/14","EV","FlyFast Airways Inc.","Minnesota","Connecticut",11,55,47,"No",132,1050,2,-93.2798,44.9782,-72.6988,41.7401,NA
"2617","Baltimore, MD","Charlotte, NC","Silver",57,"Female",1,2003,8,0.0588,"Business travel",0,0,150,"Eco",24,"3/24/14","US","Southeast Airlines Co.","North Carolina","Maryland",9,0,0,"No",58,361,7,-80.8158,35.2497,-76.6478,39.2341,NA
"2618","Atlanta, GA","New Orleans, LA","Blue",54,"Female",1,2003,1,0.3333,"Business travel",0,90,0,"Eco",20,"2/20/14","DL","Sigma Airlines Inc.","Louisiana","Georgia",15,0,0,"No",60,425,8,-90.1437,29.9547,-84.3319,33.8241,NA
"2619","New York, NY","San Juan, PR","Blue",45,"Female",1,2012,31,-0.55,"Business travel",1,0,60,"Eco",24,"2/24/14","DL","Sigma Airlines Inc.","Puerto Rico","New York",14,0,0,"No",215,1598,10,-66.1162,18.2882,-73.9702,40.7184,NA
"2620","Salt Lake City, UT","Philadelphia, PA","Blue",28,"Female",1,2007,2,0.8,"Business travel",2,120,60,"Eco",7,"2/7/14","US","Southeast Airlines Co.","Pennsylvania","Utah",18,0,0,"No",286,1927,9,-75.2984,39.9733,-111.9295,40.6408,NA
"2621","Denver, CO","Memphis, TN","Platinum",59,"Male",1,2009,43,-0.7551,"Business travel",1,0,195,"Eco",25,"3/25/14","OO","Northwest Business Airlines Inc.","Tennessee","Colorado",12,0,5,"No",143,872,2,-89.9179,35.0951,-104.9551,39.7108,NA
"2622","Phoenix, AZ","Milwaukee, WI","Blue",61,"Female",1,2010,8,-0.2308,"Business travel",0,0,0,"Business",13,"2/13/14","US","Southeast Airlines Co.","Wisconsin","Arizona",7,0,0,"No",208,1460,8,-88.1005,43.0557,-111.97,33.4941,NA
"2623","Denver, CO","Dickinson, ND","Silver",32,"Female",0,2012,28,-0.4737,"Business travel",0,10,20,"Eco",8,"1/8/14","EV","FlyFast Airways Inc.","North Dakota","Colorado",11,161,163,"No",72,488,7,-102.7868,46.8855,-104.9551,39.7108,NA
"2624","Denver, CO","New Orleans, LA","Blue",22,"Female",1,2005,21,-0.9091,"Business travel",0,80,135,"Eco",18,"1/18/14","OU","Oursin Airlines Inc.","Louisiana","Colorado",14,84,78,"No",154,1062,9,-90.1437,29.9547,-104.9551,39.7108,NA
"2625","Phoenix, AZ","Tampa, FL","Blue",67,"Male",1,2003,41,-0.7826,"Personal Travel",2,90,0,"Eco",19,"2/19/14","US","Southeast Airlines Co.","Florida","Arizona",17,0,0,"No",245,1788,6,-82.5132,28.0062,-111.97,33.4941,NA
"2626","Orlando, FL","Atlanta, GA","Blue",46,"Female",2,2007,17,-0.4783,"Mileage tickets",0,0,60,"Eco",1,"3/1/14","WN","Cheapseats Airlines Inc.","Georgia","Florida",11,4,4,"No",59,404,9,-84.3319,33.8241,-81.4112,28.5844,NA
"2627","San Francisco, CA","Santa Barbara, CA","Blue",44,"Female",1,2006,16,-0.3913,"Business travel",2,70,75,"Eco",6,"1/6/14","OO","Northwest Business Airlines Inc.","California","California",12,22,8,"No",58,262,7,-119.7241,34.4275,-122.1585,37.6712,NA
"2628","Atlanta, GA","Pensacola, FL","Blue",48,"Male",1,2011,10,0,"Personal Travel",0,0,40,"Eco",5,"3/5/14","DL","Sigma Airlines Inc.","Florida","Georgia",9,5,0,"No",42,271,7,-87.2534,30.4853,-84.3319,33.8241,NA
"2629","Houston, TX","Los Angeles, CA","Blue",66,"Male",2,2003,51,-0.6721,"Personal Travel",0,0,0,"Eco",22,"1/22/14","OU","Oursin Airlines Inc.","California","Texas",7,0,0,"No",154,1379,3,-118.1043,33.9827,-95.3935,29.7843,NA
"2630","San Francisco, CA","Seattle, WA","Gold",63,"Female",1,2005,25,-0.9231,"Personal Travel",0,0,60,"Eco",17,"1/17/14","OO","Northwest Business Airlines Inc.","Washington","California",5,0,0,"No",101,679,7,-122.2747,47.4684,-122.1585,37.6712,NA
"2631","Columbus, OH","Houston, TX","Silver",52,"Male",2,2006,24,-0.5,"Mileage tickets",0,30,0,"Eco",5,"2/5/14","EV","FlyFast Airways Inc.","Texas","Ohio",18,20,7,"No",113,986,4,-95.3935,29.7843,-82.9685,40.0212,NA
"2632","Detroit, MI","Chicago, IL","Blue",16,"Female",1,2012,10,-0.1765,"Personal Travel",4,0,45,"Business",30,"1/30/14","OU","Oursin Airlines Inc.","Illinois","Michigan",19,52,41,"No",45,235,7,-87.8954,41.8271,-83.2276,42.49,NA
"2633","Salt Lake City, UT","Helena, MT","Silver",39,"Female",2,2003,18,-0.3333,"Business travel",2,0,0,"Eco Plus",25,"3/25/14","OO","Northwest Business Airlines Inc.","Montana","Utah",17,0,0,"No",63,402,8,-111.9935,46.6141,-111.9295,40.6408,NA
"2634","Austin, TX","San Francisco, CA","Blue",68,"Male",2,2006,40,-0.6667,"Personal Travel",0,15,15,"Eco",11,"2/11/14","OO","Northwest Business Airlines Inc.","California","Texas",13,18,16,"No",187,1504,3,-122.1585,37.6712,-97.7615,30.3585,NA
"2635","Kahului, HI","Phoenix, AZ","Blue",17,"Female",1,2010,17,-0.619,"Business travel",2,0,90,"Eco",8,"2/8/14","US","Southeast Airlines Co.","Arizona","Hawaii",11,11,23,"No",386,2845,8,-111.97,33.4941,-156.4779,20.8864,NA
"2636","Washington, DC","Milwaukee, WI","Blue",28,"Female",1,2003,13,-0.7333,"Business travel",4,40,135,"Eco",15,"2/15/14","FL","FlyHere Airways","Wisconsin","Virginia",10,0,3,"No",89,634,9,-88.1005,43.0557,-77.1897,38.8974,NA
"2637","San Francisco, CA","Denver, CO","Blue",37,"Female",1,2003,4,0.8621,"Business travel",3,31,3,"Eco",1,"3/1/14","OU","Oursin Airlines Inc.","Colorado","California",10,23,45,"No",142,967,6,-104.9551,39.7108,-122.1585,37.6712,NA
"2638","Chicago, IL","Minneapolis, MN","Blue",32,"Female",1,2006,19,0.2245,"Business travel",1,0,38,"Eco",20,"1/20/14","WN","Cheapseats Airlines Inc.","Minnesota","Illinois",6,0,0,"No",59,349,6,-93.2798,44.9782,-87.8954,41.8271,NA
"2639","Orlando, FL","Philadelphia, PA","Blue",38,"Female",1,2008,22,-0.913,"Business travel",0,210,75,"Eco Plus",8,"3/8/14","US","Southeast Airlines Co.","Pennsylvania","Florida",10,0,0,"No",125,861,10,-75.2984,39.9733,-81.4112,28.5844,NA
"2640","Atlanta, GA","New York, NY","Blue",75,"Female",2,2003,37,-0.7619,"Personal Travel",0,90,0,"Eco",13,"3/13/14","DL","Sigma Airlines Inc.","New York","Georgia",11,66,73,"No",106,762,3,-73.9702,40.7184,-84.3319,33.8241,NA
"2641","Detroit, MI","Atlanta, GA","Blue",79,"Female",1,2004,48,-0.6552,"Personal Travel",0,0,120,"Eco",23,"1/23/14","DL","Sigma Airlines Inc.","Georgia","Michigan",21,0,0,"No",86,594,4,-84.3319,33.8241,-83.2276,42.49,NA
"2642","Boston, MA","Detroit, MI","Blue",19,"Female",1,2003,4,-0.3333,"Business travel",1,5,25,"Eco",19,"3/19/14","DL","Sigma Airlines Inc.","Michigan","Massachusetts",19,37,28,"No",75,632,7,-83.2276,42.49,-71.1407,42.3731,NA
"2643","San Francisco, CA","Salt Lake City, UT","Blue",47,"Male",0,2006,13,0.1613,"Business travel",1,0,10,"Eco",3,"3/3/14","DL","Sigma Airlines Inc.","Utah","California",11,0,0,"No",93,599,8,-111.9295,40.6408,-122.1585,37.6712,NA
"2644","Denver, CO","Las Vegas, NV","Blue",47,"Male",0,2005,72,-0.8462,"Mileage tickets",0,0,35,"Eco",17,"3/17/14","WN","Cheapseats Airlines Inc.","Nevada","Colorado",14,101,97,"No",82,628,7,-115.1672,36.1349,-104.9551,39.7108,NA
"2645","Indianapolis, IN","Houston, TX","Blue",43,"Female",2,2012,31,-0.2157,"Personal Travel",1,0,30,"Eco",15,"2/15/14","EV","FlyFast Airways Inc.","Texas","Indiana",16,0,0,"No",119,844,1,-95.3935,29.7843,-86.1455,39.8113,NA
"2646","Baltimore, MD","Boston, MA","Blue",53,"Female",1,2009,1,0.8,"Personal Travel",1,250,75,"Eco",11,"2/11/14","B6","OnlyJets Airlines Inc.","Massachusetts","Maryland",8,0,0,"No",68,369,4,-71.1407,42.3731,-76.6478,39.2341,NA
"2647","Atlanta, GA","Charlotte, NC","Silver",29,"Male",2,2006,10,-0.6667,"Personal Travel",0,0,60,"Eco",18,"3/18/14","US","Southeast Airlines Co.","North Carolina","Georgia",11,70,102,"No",53,226,7,-80.8158,35.2497,-84.3319,33.8241,NA
"2648","Chicago, IL","Birmingham, AL","Blue",42,"Male",1,2006,15,0.1429,"Business travel",1,0,30,"Eco",18,"3/18/14","EV","FlyFast Airways Inc.","Alabama","Illinois",6,0,0,"No",107,584,7,-86.792,33.4691,-87.8954,41.8271,NA
"2649","Minneapolis, MN","Kansas City, MO","Blue",57,"Male",1,2007,21,-0.75,"Business travel",0,60,95,"Eco",12,"1/12/14","WN","Cheapseats Airlines Inc.","Missouri","Minnesota",13,0,0,"No",55,393,10,-94.5949,39.0398,-93.2798,44.9782,NA
"2650","San Luis Obispo, CA","San Francisco, CA","Blue",15,"Female",1,2003,53,-0.8929,"Mileage tickets",1,180,65,"Eco",1,"2/1/14","OO","Northwest Business Airlines Inc.","California","California",16,0,0,"No",43,190,9,-122.1585,37.6712,-120.6655,35.2792,NA
"2651","Atlanta, GA","Miami, FL","Silver",45,"Male",1,2005,18,-0.8947,"Business travel",1,0,75,"Business",25,"3/25/14","DL","Sigma Airlines Inc.","Florida","Georgia",12,0,0,"No",88,594,9,-80.2314,26.1756,-84.3319,33.8241,NA
"2652","Denver, CO","Tulsa, OK","Blue",60,"Female",1,2010,3,0.4,"Business travel",0,0,40,"Eco Plus",5,"2/5/14","WN","Cheapseats Airlines Inc.","Oklahoma","Colorado",8,0,0,"No",93,541,9,-95.9013,36.1054,-104.9551,39.7108,NA
"2653","Chicago, IL","Appleton, WI","Blue",49,"Female",2,2010,5,-0.1111,"Mileage tickets",0,0,20,"Business",3,"2/3/14","EV","FlyFast Airways Inc.","Wisconsin","Illinois",18,6,8,"No",33,160,6,-88.4111,44.2467,-87.8954,41.8271,NA
"2654","Denver, CO","Indianapolis, IN","Gold",37,"Female",2,2006,17,-0.3077,"Mileage tickets",2,0,30,"Eco",12,"2/12/14","WN","Cheapseats Airlines Inc.","Indiana","Colorado",18,23,18,"No",151,977,6,-86.1455,39.8113,-104.9551,39.7108,NA
"2655","New Orleans, LA","Las Vegas, NV","Blue",46,"Male",2,2003,13,-0.8571,"Business travel",0,30,120,"Eco",4,"3/4/14","WN","Cheapseats Airlines Inc.","Nevada","Louisiana",12,28,25,"No",172,1500,10,-115.1672,36.1349,-90.1437,29.9547,NA
"2656","Boston, MA","Los Angeles, CA","Platinum",30,"Female",0,2011,21,0.4085,"Business travel",2,0,105,"Eco Plus",20,"1/20/14","B6","OnlyJets Airlines Inc.","California","Massachusetts",8,0,0,"No",280,2611,10,-118.1043,33.9827,-71.1407,42.3731,NA
"2657","Salt Lake City, UT","Fresno, CA","Blue",16,"Male",2,2012,13,-0.1304,"Business travel",3,0,85,"Eco",28,"2/28/14","OO","Northwest Business Airlines Inc.","California","Utah",6,0,0,"No",69,501,9,-119.7611,36.7878,-111.9295,40.6408,NA
"2658","Seattle, WA","Portland, OR","Blue",78,"Female",1,2006,31,-0.55,"Mileage tickets",0,0,115,"Eco",13,"2/13/14","OO","Northwest Business Airlines Inc.","Oregon","Washington",9,0,0,"No",39,129,10,-122.6511,45.5204,-122.2747,47.4684,NA
"2659","Minneapolis, MN","San Diego, CA","Blue",46,"Female",1,2010,27,-0.1739,"Business travel",1,0,130,"Eco",9,"1/9/14","DL","Sigma Airlines Inc.","California","Minnesota",12,0,0,"No",193,1532,9,-117.1288,32.9287,-93.2798,44.9782,NA
"2660","New York, NY","Los Angeles, CA","Blue",64,"Female",1,2006,23,-0.5862,"Personal Travel",0,15,50,"Eco",30,"3/30/14","AA","Paul Smith Airlines Inc.","California","New York",7,0,0,"No",304,2475,7,-118.1043,33.9827,-73.9702,40.7184,NA
"2661","Lewiston, ID","Salt Lake City, UT","Blue",32,"Female",1,2004,23,-0.3529,"Business travel",4,0,90,"Eco",25,"3/25/14","OO","Northwest Business Airlines Inc.","Utah","Idaho",11,0,0,"No",67,461,8,-111.9295,40.6408,-117.0273,46.3892,NA
"2662","Denver, CO","Spokane, WA","Blue",53,"Male",1,2006,15,-0.3043,"Business travel",0,10,65,"Business",22,"3/22/14","F9","GoingNorth Airlines Inc.","Washington","Colorado",6,0,1,"No",111,836,10,-117.3523,47.6804,-104.9551,39.7108,NA
"2663","Tampa, FL","Manchester, NH","Silver",23,"Male",1,2006,38,-0.9487,"Business travel",0,0,15,"Eco",10,"2/10/14","WN","Cheapseats Airlines Inc.","New Hampshire","Florida",7,2,0,"No",195,1204,8,-71.4797,42.991,-82.5132,28.0062,NA
"2664","Chicago, IL","Charlotte, NC","Silver",55,"Female",1,2007,15,0.0323,"Business travel",2,0,105,"Eco",21,"2/21/14","EV","FlyFast Airways Inc.","North Carolina","Illinois",7,96,85,"No",94,599,7,-80.8158,35.2497,-87.8954,41.8271,NA
"2665","San Francisco, CA","Boston, MA","Gold",32,"Female",1,2006,11,0.56,"Business travel",1,105,30,"Eco",26,"1/26/14","VX","Cool&Young Airlines Inc.","Massachusetts","California",8,2,12,"No",384,2704,6,-71.1407,42.3731,-122.1585,37.6712,NA
"2666","Phoenix, AZ","Des Moines, IA","Blue",78,"Male",1,2006,24,-0.5,"Personal Travel",0,15,120,"Eco",31,"3/31/14","US","Southeast Airlines Co.","Iowa","Arizona",7,0,17,"No",176,1149,4,-93.6561,41.6194,-111.97,33.4941,NA
"2667","Buffalo, NY","Chicago, IL","Blue",20,"Male",1,2010,48,-0.7143,"Personal Travel",3,60,75,"Eco Plus",18,"2/18/14","WN","Cheapseats Airlines Inc.","Illinois","New York",7,20,21,"No",70,468,4,-87.8954,41.8271,-78.8237,42.9249,NA
"2668","Grand Rapids, MI","Atlanta, GA","Blue",49,"Female",2,2004,15,-0.25,"Business travel",0,55,120,"Eco",17,"1/17/14","EV","FlyFast Airways Inc.","Georgia","Michigan",9,9,1,"No",84,640,7,-84.3319,33.8241,-85.6686,42.9429,NA
"2669","Los Angeles, CA","Austin, TX","Silver",34,"Male",1,2003,24,0.1579,"Business travel",2,0,88,"Business",22,"3/22/14","OO","Northwest Business Airlines Inc.","Texas","California",9,0,0,"No",187,1242,9,-97.7615,30.3585,-118.1043,33.9827,NA
"2670","Burlington, VT","New York, NY","Blue",49,"Male",0,2007,23,-0.4375,"Business travel",0,100,70,"Eco Plus",19,"2/19/14","B6","OnlyJets Airlines Inc.","New York","Vermont",22,8,7,"No",52,266,9,-73.9702,40.7184,-73.1479,44.474,NA
"2671","Rochester, NY","Chicago, IL","Silver",58,"Female",2,2012,25,-0.6667,"Mileage tickets",0,0,120,"Eco",14,"1/14/14","WN","Cheapseats Airlines Inc.","Illinois","New York",11,2,1,"No",74,523,10,-87.8954,41.8271,-77.5682,43.1376,NA
"2672","Los Angeles, CA","Albuquerque, NM","Blue",52,"Female",1,2004,46,-0.8039,"Business travel",0,20,30,"Business",7,"1/7/14","OO","Northwest Business Airlines Inc.","New Mexico","California",12,5,6,"No",102,677,9,-106.6281,35.1434,-118.1043,33.9827,NA
"2673","Pensacola, FL","Chicago, IL","Blue",67,"Female",1,2003,15,-0.25,"Business travel",0,51,80,"Eco",7,"3/7/14","EV","FlyFast Airways Inc.","Illinois","Florida",8,14,8,"No",107,794,7,-87.8954,41.8271,-87.2534,30.4853,NA
"2674","Boston, MA","Atlanta, GA","Gold",40,"Male",1,2003,10,-0.0526,"Business travel",1,0,15,"Eco",21,"1/21/14","DL","Sigma Airlines Inc.","Georgia","Massachusetts",21,0,0,"No",111,946,9,-84.3319,33.8241,-71.1407,42.3731,NA
"2675","Detroit, MI","Grand Rapids, MI","Blue",36,"Male",1,2009,7,0,"Business travel",3,0,60,"Eco",16,"1/16/14","DL","Sigma Airlines Inc.","Michigan","Michigan",6,0,0,"No",28,120,9,-85.6686,42.9429,-83.2276,42.49,NA
"2676","Portland, OR","Denver, CO","Blue",41,"Male",0,2006,9,0.1429,"Business travel",3,10,80,"Eco",20,"1/20/14","F9","GoingNorth Airlines Inc.","Colorado","Oregon",16,19,17,"No",143,991,3,-104.9551,39.7108,-122.6511,45.5204,NA
"2677","Portland, OR","Anchorage, AK","Gold",47,"Male",1,2011,30,-0.5,"Business travel",0,0,30,"Eco",5,"3/5/14","AS","FlyToSun Airlines Inc.","Alaska","Oregon",2,0,11,"No",200,1542,8,-149.8472,61.1679,-122.6511,45.5204,NA
"2678","New York, NY","Orlando, FL","Blue",36,"Male",1,2003,1,0.913,"Business travel",1,0,60,"Eco",4,"2/4/14","DL","Sigma Airlines Inc.","Florida","New York",7,0,0,"No",117,950,10,-81.4112,28.5844,-73.9702,40.7184,NA
"2679","Los Angeles, CA","Denver, CO","Blue",80,"Male",2,2005,52,-0.9623,"Personal Travel",0,0,45,"Eco",27,"2/27/14","F9","GoingNorth Airlines Inc.","Colorado","California",8,0,10,"No",135,862,4,-104.9551,39.7108,-118.1043,33.9827,NA
"2680","Houston, TX","Baton Rouge, LA","Blue",80,"Male",1,2007,6,0.1429,"Business travel",0,0,105,"Eco",23,"2/23/14","EV","FlyFast Airways Inc.","Louisiana","Texas",10,22,19,"No",48,253,4,-91.039,30.4279,-95.3935,29.7843,NA
"2681","Houston, TX","Denver, CO","Blue",54,"Male",1,2006,16,-0.28,"Business travel",0,0,120,"Eco",27,"2/27/14","OU","Oursin Airlines Inc.","Colorado","Texas",19,0,0,"No",98,862,7,-104.9551,39.7108,-95.3935,29.7843,NA
"2682","Houston, TX","Alexandria, LA","Silver",36,"Female",2,2008,13,0.5273,"Personal Travel",4,0,30,"Eco",15,"2/15/14","EV","FlyFast Airways Inc.","Louisiana","Texas",11,0,0,"No",41,190,6,-92.423,31.4628,-95.3935,29.7843,NA
"2683","Albuquerque, NM","Phoenix, AZ","Blue",57,"Male",1,2005,10,-0.0526,"Business travel",0,0,75,"Eco",17,"2/17/14","US","Southeast Airlines Co.","Arizona","New Mexico",19,0,0,"No",46,328,10,-111.97,33.4941,-106.6281,35.1434,NA
"2684","Charlotte, NC","New York, NY","Silver",28,"Male",1,2004,3,0.5,"Business travel",1,0,70,"Eco",30,"1/30/14","MQ","EnjoyFlying Air Services","New York","North Carolina",13,0,0,"No",92,544,10,-73.9702,40.7184,-80.8158,35.2497,NA
"2685","Minneapolis, MN","Kansas City, MO","Blue",42,"Female",3,2009,26,-0.625,"Business travel",2,0,20,"Eco",17,"2/17/14","DL","Sigma Airlines Inc.","Missouri","Minnesota",17,0,0,"No",63,393,8,-94.5949,39.0398,-93.2798,44.9782,NA
"2686","San Francisco, CA","Phoenix, AZ","Blue",33,"Male",1,2005,10,-0.6667,"Business travel",0,0,60,"Business",28,"1/28/14","OO","Northwest Business Airlines Inc.","Arizona","California",17,0,0,"No",112,651,9,-111.97,33.4941,-122.1585,37.6712,NA
"2687","Las Vegas, NV","San Antonio, TX","Blue",54,"Female",1,2006,11,-0.8333,"Business travel",0,105,105,"Eco Plus",17,"3/17/14","WN","Cheapseats Airlines Inc.","Texas","Nevada",12,16,18,"No",162,1069,8,-98.4754,29.5144,-115.1672,36.1349,NA
"2688","Rock Springs, WY","Salt Lake City, UT","Blue",15,"Female",2,2012,9,-0.5,"Personal Travel",2,10,65,"Eco Plus",17,"2/17/14","OO","Northwest Business Airlines Inc.","Utah","Wyoming",20,0,0,"No",31,162,7,-111.9295,40.6408,-109.2408,41.5955,NA
"2689","Phoenix, AZ","Chicago, IL","Blue",39,"Male",2,2004,51,-0.7288,"Business travel",0,0,30,"Eco",7,"2/7/14","US","Southeast Airlines Co.","Illinois","Arizona",7,0,0,"No",208,1440,9,-87.8954,41.8271,-111.97,33.4941,NA
"2690","Los Angeles, CA","Atlanta, GA","Silver",60,"Female",1,2010,28,-0.4737,"Business travel",0,0,80,"Eco",31,"3/31/14","DL","Sigma Airlines Inc.","Georgia","California",8,0,0,"No",274,1947,10,-84.3319,33.8241,-118.1043,33.9827,NA
"2691","Boston, MA","Atlanta, GA","Blue",38,"Female",1,2010,17,-0.1333,"Personal Travel",1,0,60,"Eco",2,"3/2/14","FL","FlyHere Airways","Georgia","Massachusetts",14,0,0,"No",111,946,9,-84.3319,33.8241,-71.1407,42.3731,NA
