Destination.City,Origin.City,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,Flights.Per.Year,Loyalty,Type.of.Travel,Total.Freq.Flyer.Accts,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Partner.Code,Partner.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Likelihood.to.recommend,olong,olat,dlong,dlat
Houston,Baton Rouge,Blue,80,Male,1,2007,6,0.1429,Business travel,0,0,105,Eco,23,2/23/14,EV,FlyFast Airways Inc.,Louisiana,Texas,10,22,19,No,48,253,4,-91.039,30.4279,-95.3935,29.7843
Houston,Denver,Blue,54,Male,1,2006,16,-0.28,Business travel,0,0,120,Eco,27,2/27/14,OU,Oursin Airlines Inc.,Colorado,Texas,19,0,0,No,98,862,7,-104.9551,39.7108,-95.3935,29.7843
Houston,Alexandria,Silver,36,Female,2,2008,13,0.5273,Personal Travel,4,0,30,Eco,15,2/15/14,EV,FlyFast Airways Inc.,Louisiana,Texas,11,0,0,No,41,190,6,-92.423,31.4628,-95.3935,29.7843
Albuquerque,Phoenix,Blue,57,Male,1,2005,10,-0.0526,Business travel,0,0,75,Eco,17,2/17/14,US,Southeast Airlines Co.,Arizona,New Mexico,19,0,0,No,46,328,10,-111.97,33.4941,-106.6281,35.1434
Charlotte,New York,Silver,28,Male,1,2004,3,0.5,Business travel,1,0,70,Eco,30,1/30/14,MQ,EnjoyFlying Air Services,New York,North Carolina,13,0,0,No,92,544,10,-73.9702,40.7184,-80.8158,35.2497
Minneapolis,Kansas City,Blue,42,Female,3,2009,26,-0.625,Business travel,2,0,20,Eco,17,2/17/14,DL,Sigma Airlines Inc.,Missouri,Minnesota,17,0,0,No,63,393,8,-94.5949,39.0398,-93.2798,44.9782
San Francisco,Phoenix,Blue,33,Male,1,2005,10,-0.6667,Business travel,0,0,60,Business,28,1/28/14,OO,Northwest Business Airlines Inc.,Arizona,California,17,0,0,No,112,651,9,-111.97,33.4941,-122.1585,37.6712
Las Vegas,San Antonio,Blue,54,Female,1,2006,11,-0.8333,Business travel,0,105,105,Eco Plus,17,3/17/14,WN,Cheapseats Airlines Inc.,Texas,Nevada,12,16,18,No,162,1069,8,-98.4754,29.5144,-115.1672,36.1349
Rock Springs,Salt Lake City,Blue,15,Female,2,2012,9,-0.5,Personal Travel,2,10,65,Eco Plus,17,2/17/14,OO,Northwest Business Airlines Inc.,Utah,Wyoming,20,0,0,No,31,162,7,-111.9295,40.6408,-109.2408,41.5955
Phoenix,Chicago,Blue,39,Male,2,2004,51,-0.7288,Business travel,0,0,30,Eco,7,02-07-14,US,Southeast Airlines Co.,Illinois,Arizona,7,0,0,No,208,1440,9,-87.8954,41.8271,-111.97,33.4941
Los Angeles,Atlanta,Silver,60,Female,1,2010,28,-0.4737,Business travel,0,0,80,Eco,31,3/31/14,DL,Sigma Airlines Inc.,Georgia,California,8,0,0,No,274,1947,10,-84.3319,33.8241,-118.1043,33.9827
Boston,Atlanta,Blue,38,Female,1,2010,17,-0.1333,Personal Travel,1,0,60,Eco,2,03-02-14,FL,FlyHere Airways,Georgia,Massachusetts,14,0,0,No,111,946,9,-84.3319,33.8241,-71.1407,42.3731
Los Angeles,Las Vegas,Blue,42,Male,2,2008,40,-0.5385,Mileage tickets,2,0,45,Business,7,01-07-14,OO,Northwest Business Airlines Inc.,Nevada,California,18,0,0,No,41,236,9,-115.1672,36.1349,-118.1043,33.9827
New York,Washington,Blue,42,Male,1,2004,25,-0.3889,Business travel,2,0,100,Eco,19,2/19/14,EV,FlyFast Airways Inc.,Virginia,New York,17,189,153,No,49,228,8,-77.1897,38.8974,-73.9702,40.7184
Washington,Boston,Blue,50,Female,0,2006,33,-0.65,Mileage tickets,0,0,60,Eco,6,03-06-14,B6,OnlyJets Airlines Inc.,Massachusetts,Virginia,7,0,4,No,73,399,9,-71.1407,42.3731,-77.1897,38.8974
Baltimore,Denver,Blue,39,Female,2,2005,36,-0.6744,Business travel,0,17,65,Eco,29,1/29/14,WN,Cheapseats Airlines Inc.,Colorado,Maryland,10,0,0,No,179,1491,7,-104.9551,39.7108,-76.6478,39.2341
Minot,Denver,Blue,54,Male,1,2009,37,-0.9474,Mileage tickets,0,0,180,Eco,12,03-12-14,OO,Northwest Business Airlines Inc.,Colorado,North Dakota,14,0,0,No,94,604,6,-104.9551,39.7108,-101.2876,48.2338
Phoenix,Spokane,Blue,20,Female,2,2003,28,-0.4359,Mileage tickets,1,0,20,Eco Plus,15,1/15/14,US,Southeast Airlines Co.,Washington,Arizona,15,0,0,No,128,1020,8,-117.3523,47.6804,-111.97,33.4941
Charleston,Washington,Blue,60,Female,1,2004,22,-0.4667,Personal Travel,0,60,20,Eco,6,01-06-14,EV,FlyFast Airways Inc.,Virginia,South Carolina,16,0,0,Yes,94,441,3,-77.1897,38.8974,-80.0155,32.9023
Dothan,Atlanta,Blue,19,Male,1,2003,17,-0.4783,Business travel,2,0,45,Business,12,01-12-14,EV,FlyFast Airways Inc.,Georgia,Alabama,13,0,3,No,33,170,7,-84.3319,33.8241,-85.4251,31.2237
Denver,Minneapolis,Silver,40,Female,2,2004,4,0.2727,Business travel,1,120,90,Business,31,3/31/14,F9,GoingNorth Airlines Inc.,Minnesota,Colorado,6,0,0,No,105,680,7,-93.2798,44.9782,-104.9551,39.7108
Milwaukee,Cleveland,Silver,45,Female,2,2004,7,0,Business travel,3,0,20,Eco,10,01-10-14,OO,Northwest Business Airlines Inc.,Ohio,Wisconsin,13,0,0,No,64,328,9,-81.6054,41.4436,-88.1005,43.0557
Philadelphia,Orlando,Silver,44,Female,1,2009,21,-0.68,Business travel,0,120,20,Eco,13,1/13/14,US,Southeast Airlines Co.,Florida,Pennsylvania,17,0,0,No,112,861,9,-81.4112,28.5844,-75.2984,39.9733
Charleston,Atlanta,Blue,59,Male,1,2003,21,-0.5556,Personal Travel,0,40,90,Business,20,2/20/14,DL,Sigma Airlines Inc.,Georgia,South Carolina,8,0,0,No,37,259,4,-84.3319,33.8241,-80.0155,32.9023
Boston,Detroit,Blue,47,Male,1,2003,12,-0.2632,Personal Travel,1,92,60,Eco,25,2/25/14,DL,Sigma Airlines Inc.,Michigan,Massachusetts,21,1,3,No,76,632,9,-83.2276,42.49,-71.1407,42.3731
Houston,Albuquerque,Silver,38,Female,2,2005,6,0.5556,Business travel,2,0,30,Eco,27,1/27/14,WN,Cheapseats Airlines Inc.,New Mexico,Texas,14,23,17,No,96,759,9,-106.6281,35.1434,-95.3935,29.7843
San Diego,Salt Lake City,Blue,49,Male,2,2007,38,-0.7674,Personal Travel,0,0,40,Eco,11,02-11-14,DL,Sigma Airlines Inc.,Utah,California,8,0,26,No,133,626,3,-111.9295,40.6408,-117.1288,32.9287
Houston,Denver,Blue,65,Male,1,2003,21,-0.5556,Business travel,0,30,120,Eco,4,01-04-14,OU,Oursin Airlines Inc.,Colorado,Texas,7,3,8,No,110,862,8,-104.9551,39.7108,-95.3935,29.7843
Orlando,Phoenix,Blue,70,Male,1,2003,66,-0.8333,Personal Travel,0,0,15,Eco,8,01-08-14,US,Southeast Airlines Co.,Arizona,Florida,9,3,10,No,214,1849,4,-111.97,33.4941,-81.4112,28.5844
Chicago,Pensacola,Blue,25,Female,1,2003,30,-0.5789,Business travel,1,0,120,Eco Plus,29,3/29/14,EV,FlyFast Airways Inc.,Florida,Illinois,11,30,33,No,122,794,6,-87.2534,30.4853,-87.8954,41.8271
Portland,Kansas City,Blue,38,Female,1,2006,24,-0.4118,Business travel,0,0,60,Eco,13,3/13/14,WN,Cheapseats Airlines Inc.,Missouri,Oregon,18,44,29,No,203,1482,9,-94.5949,39.0398,-122.6511,45.5204
El Paso,Houston,Blue,22,Male,2,2008,12,-0.6,Business travel,1,0,100,Eco,1,02-01-14,EV,FlyFast Airways Inc.,Texas,Texas,11,0,0,No,100,667,6,-95.3935,29.7843,-106.389,31.7802
Washington,Austin,Gold,62,Male,1,2012,9,-0.2857,Business travel,0,0,50,Eco,11,01-11-14,OO,Northwest Business Airlines Inc.,Texas,Virginia,17,0,0,Yes,94,1297,7,-97.7615,30.3585,-77.1897,38.8974
Chicago,Muskegon,Blue,64,Male,1,2004,1,0.8182,Business travel,0,0,195,Eco,6,03-06-14,OO,Northwest Business Airlines Inc.,Michigan,Illinois,19,0,0,No,28,118,8,-86.213,43.1656,-87.8954,41.8271
Baltimore,Tampa,Silver,41,Female,1,2012,14,-0.4,Personal Travel,1,40,70,Eco,29,3/29/14,FL,FlyHere Airways,Florida,Maryland,12,176,189,No,112,842,9,-82.5132,28.0062,-76.6478,39.2341
Atlanta,Detroit,Blue,34,Female,1,2003,52,-0.9623,Personal Travel,3,15,40,Eco,15,2/15/14,FL,FlyHere Airways,Michigan,Georgia,7,8,0,No,87,594,4,-83.2276,42.49,-84.3319,33.8241
Denver,Akron,Silver,73,Female,0,2009,34,-0.9429,Business travel,0,21,100,Eco,14,2/14/14,WN,Cheapseats Airlines Inc.,Ohio,Colorado,16,0,0,No,178,1224,10,-81.4919,41.0662,-104.9551,39.7108
Atlanta,Roanoke,Blue,41,Male,1,2003,38,-0.9487,Business travel,0,15,75,Eco Plus,13,1/13/14,EV,FlyFast Airways Inc.,Virginia,Georgia,14,0,0,No,65,357,9,-79.9763,37.2908,-84.3319,33.8241
Fort Wayne,Chicago,Blue,35,Male,1,2003,3,0.4,Business travel,1,50,75,Eco,19,3/19/14,OO,Northwest Business Airlines Inc.,Illinois,Indiana,17,6,6,No,37,157,10,-87.8954,41.8271,-85.1389,41.1004
Los Angeles,Columbus,Blue,55,Female,2,2009,25,-0.7241,Business travel,0,0,180,Eco,10,03-10-14,DL,Sigma Airlines Inc.,Ohio,California,7,0,0,No,264,1995,6,-82.9685,40.0212,-118.1043,33.9827
Miami,Phoenix,Blue,31,Male,2,2009,44,-0.76,Mileage tickets,0,0,40,Eco,25,1/25/14,AA,Paul Smith Airlines Inc.,Arizona,Florida,23,0,0,No,214,1972,9,-111.97,33.4941,-80.2314,26.1756
Manchester,Chicago,Blue,80,Female,1,2012,30,-0.7647,Personal Travel,0,0,60,Eco,8,01-08-14,WN,Cheapseats Airlines Inc.,Illinois,New Hampshire,20,35,26,No,96,838,4,-87.8954,41.8271,-71.4797,42.991
Milwaukee,Washington,Blue,43,Female,1,2006,2,0.8857,Personal Travel,2,60,125,Eco,14,3/14/14,FL,FlyHere Airways,Virginia,Wisconsin,14,71,69,No,101,634,4,-77.1897,38.8974,-88.1005,43.0557
Los Angeles,New York,Blue,66,Female,1,2005,31,-0.8235,Personal Travel,0,0,100,Eco,27,2/27/14,AA,Paul Smith Airlines Inc.,New York,California,6,1,2,No,350,2475,5,-73.9702,40.7184,-118.1043,33.9827
Chicago,Las Vegas,Gold,28,Female,2,2010,21,-0.9091,Business travel,0,120,255,Eco,21,3/21/14,WN,Cheapseats Airlines Inc.,Nevada,Illinois,7,10,0,No,171,1521,9,-115.1672,36.1349,-87.8954,41.8271
Boston,Cincinnati,Blue,50,Female,1,2006,10,-0.1765,Business travel,1,0,55,Eco,14,1/14/14,DL,Sigma Airlines Inc.,Kentucky,Massachusetts,16,0,0,No,102,752,7,-84.462,39.1855,-71.1407,42.3731
San Antonio,Charlotte,Blue,75,Male,1,2005,19,-0.8095,Personal Travel,0,10,120,Eco,1,01-01-14,US,Southeast Airlines Co.,North Carolina,Texas,18,0,1,No,174,1095,5,-80.8158,35.2497,-98.4754,29.5144
St. Louis,San Antonio,Blue,34,Female,1,2008,13,0.3158,Personal Travel,2,27,25,Eco,9,03-09-14,WN,Cheapseats Airlines Inc.,Texas,Missouri,6,1,0,No,101,786,4,-98.4754,29.5144,-90.3409,38.6307
New York,Boston,Blue,33,Male,1,2008,2,0.6,Business travel,1,90,65,Eco,12,02-12-14,US,Southeast Airlines Co.,Massachusetts,New York,7,0,0,No,51,184,9,-71.1407,42.3731,-73.9702,40.7184
Philadelphia,Atlanta,Blue,19,Female,1,2010,2,0.3333,Business travel,0,0,0,Eco,25,1/25/14,DL,Sigma Airlines Inc.,Georgia,Pennsylvania,18,1,9,No,93,666,6,-84.3319,33.8241,-75.2984,39.9733
Washington,Denver,Gold,40,Male,1,2003,18,-0.44,Business travel,0,0,85,Eco,28,3/28/14,F9,GoingNorth Airlines Inc.,Colorado,Virginia,11,0,0,No,171,1476,9,-104.9551,39.7108,-77.1897,38.8974
Seattle,Sacramento,Silver,32,Male,1,2009,17,0.2444,Personal Travel,2,0,90,Eco,21,1/21/14,AS,FlyToSun Airlines Inc.,California,Washington,16,0,0,No,85,605,10,-121.3247,38.6386,-122.2747,47.4684
Atlanta,Harrisburg,Blue,28,Female,2,2003,28,-0.5135,Personal Travel,1,0,10,Eco,23,1/23/14,EV,FlyFast Airways Inc.,Pennsylvania,Georgia,16,3,54,No,118,620,2,-76.8662,40.2456,-84.3319,33.8241
Baltimore,Detroit,Silver,36,Female,1,2006,20,0.0244,Business travel,2,10,75,Eco,22,2/22/14,DL,Sigma Airlines Inc.,Michigan,Maryland,12,0,0,No,60,409,10,-83.2276,42.49,-76.6478,39.2341
New York,Chicago,Silver,55,Male,1,2012,24,-0.92,Business travel,0,60,105,Eco,12,01-12-14,AA,Paul Smith Airlines Inc.,Illinois,New York,12,0,0,No,95,733,10,-87.8954,41.8271,-73.9702,40.7184
Denver,Indianapolis,Blue,49,Female,1,2004,22,-0.5714,Personal Travel,0,0,45,Eco,24,2/24/14,F9,GoingNorth Airlines Inc.,Indiana,Colorado,15,0,13,No,164,977,4,-86.1455,39.8113,-104.9551,39.7108
Chicago,New York,Gold,59,Female,1,2004,10,-0.5385,Business travel,0,10,55,Eco,26,1/26/14,WN,Cheapseats Airlines Inc.,New York,Illinois,20,59,52,No,130,725,4,-73.9702,40.7184,-87.8954,41.8271
New York,San Francisco,Silver,22,Female,1,2010,13,-0.1304,Mileage tickets,0,60,45,Eco,11,02-11-14,AA,Paul Smith Airlines Inc.,California,New York,7,7,0,No,293,2586,9,-122.1585,37.6712,-73.9702,40.7184
Seattle,Anchorage,Silver,25,Female,1,2011,0,1,Personal Travel,0,15,45,Eco,12,02-12-14,AS,FlyToSun Airlines Inc.,Alaska,Washington,11,8,0,No,177,1448,7,-149.8472,61.1679,-122.2747,47.4684
Knoxville,Chicago,Blue,24,Female,1,2005,2,0,Business travel,2,5,90,Eco,15,1/15/14,MQ,EnjoyFlying Air Services,Illinois,Tennessee,9,29,31,No,72,475,10,-87.8954,41.8271,-84.0244,35.9168
Chicago,San Diego,Silver,35,Male,1,2010,21,-0.5556,Business travel,2,330,60,Eco,24,3/24/14,WN,Cheapseats Airlines Inc.,California,Illinois,14,0,0,No,214,1728,10,-117.1288,32.9287,-87.8954,41.8271
Boston,Charlotte,Blue,71,Male,1,2004,55,-0.8333,Personal Travel,0,0,60,Eco,18,2/18/14,US,Southeast Airlines Co.,North Carolina,Massachusetts,22,0,0,No,98,728,5,-80.8158,35.2497,-71.1407,42.3731
Denver,Los Angeles,Blue,59,Female,1,2003,19,-0.8095,Business travel,0,40,97,Eco,9,01-09-14,WN,Cheapseats Airlines Inc.,California,Colorado,11,11,0,No,114,862,9,-118.1043,33.9827,-104.9551,39.7108
Detroit,Boston,Blue,31,Female,2,2003,8,0.2,Business travel,4,60,75,Eco Plus,16,2/16/14,DL,Sigma Airlines Inc.,Massachusetts,Michigan,16,0,1,No,112,632,10,-71.1407,42.3731,-83.2276,42.49
Seattle,Portland,Blue,30,Female,2,2007,22,-0.4667,Business travel,0,120,85,Eco,30,1/30/14,OO,Northwest Business Airlines Inc.,Oregon,Washington,7,0,0,No,37,129,8,-122.6511,45.5204,-122.2747,47.4684
Salt Lake City,Boston,Silver,46,Female,1,2011,6,0.2,Mileage tickets,2,0,10,Eco,12,02-12-14,DL,Sigma Airlines Inc.,Massachusetts,Utah,6,0,0,No,294,2105,9,-71.1407,42.3731,-111.9295,40.6408
Salt Lake City,Phoenix,Blue,64,Male,2,2005,39,-0.7333,Personal Travel,0,0,105,Eco,8,03-08-14,DL,Sigma Airlines Inc.,Arizona,Utah,11,0,0,No,76,507,7,-111.97,33.4941,-111.9295,40.6408
Rochester,New York,Blue,43,Female,2,2004,13,-0.3,Personal Travel,1,220,35,Eco,5,02-05-14,B6,OnlyJets Airlines Inc.,New York,New York,9,115,134,No,59,264,4,-73.9702,40.7184,-77.5682,43.1376
San Diego,San Francisco,Gold,48,Female,1,2009,20,-0.5385,Business travel,0,0,60,Eco,25,2/25/14,WN,Cheapseats Airlines Inc.,California,California,10,1,0,No,66,447,10,-122.1585,37.6712,-117.1288,32.9287
Chicago,Atlanta,Platinum,52,Male,1,2006,8,0.3846,Business travel,1,0,30,Eco,16,3/16/14,DL,Sigma Airlines Inc.,Georgia,Illinois,7,0,14,No,103,606,8,-84.3319,33.8241,-87.8954,41.8271
Chicago,Duluth,Blue,20,Male,2,2009,17,-0.3077,Personal Travel,0,0,60,Eco,25,2/25/14,OO,Northwest Business Airlines Inc.,Minnesota,Illinois,10,0,0,No,61,397,4,-92.129,46.7656,-87.8954,41.8271
New York,Las Vegas,Gold,75,Male,1,2005,23,-0.5333,Business travel,1,78,135,Eco,30,1/30/14,DL,Sigma Airlines Inc.,Nevada,New York,16,290,271,No,236,2248,5,-115.1672,36.1349,-73.9702,40.7184
Milwaukee,New York,Blue,40,Female,1,2007,20,-0.7391,Business travel,1,7,60,Eco,31,1/31/14,WN,Cheapseats Airlines Inc.,New York,Wisconsin,6,0,5,No,131,738,10,-73.9702,40.7184,-88.1005,43.0557
San Diego,San Francisco,Blue,56,Male,1,2009,47,-0.7091,Mileage tickets,0,10,90,Eco,30,1/30/14,OU,Oursin Airlines Inc.,California,California,7,0,0,No,69,447,10,-122.1585,37.6712,-117.1288,32.9287
Boston,Charlotte,Blue,41,Female,2,2003,42,-0.7872,Personal Travel,1,30,60,Eco,9,01-09-14,US,Southeast Airlines Co.,North Carolina,Massachusetts,20,0,0,No,101,728,4,-80.8158,35.2497,-71.1407,42.3731
New York,Birmingham,Blue,19,Female,2,2003,7,-0.5556,Business travel,0,105,140,Eco Plus,28,2/28/14,EV,FlyFast Airways Inc.,Alabama,New York,7,0,0,No,107,866,7,-86.792,33.4691,-73.9702,40.7184
Houston,Chicago,Blue,49,Female,1,2003,47,-0.9583,Business travel,3,0,80,Eco,14,3/14/14,OU,Oursin Airlines Inc.,Illinois,Texas,12,13,12,No,140,925,10,-87.8954,41.8271,-95.3935,29.7843
Minneapolis,Phoenix,Silver,48,Female,1,2012,14,-0.2727,Personal Travel,2,120,150,Business,13,1/13/14,US,Southeast Airlines Co.,Arizona,Minnesota,19,0,0,No,163,1276,7,-111.97,33.4941,-93.2798,44.9782
Reno,Portland,Silver,66,Female,1,2004,20,-0.6,Personal Travel,0,0,50,Eco,6,01-06-14,WN,Cheapseats Airlines Inc.,Oregon,Nevada,17,146,143,No,64,444,7,-122.6511,45.5204,-119.7959,39.5326
Seattle,San Francisco,Blue,54,Male,1,2003,11,-0.2222,Business travel,0,0,90,Eco,10,01-10-14,VX,Cool&Young Airlines Inc.,California,Washington,7,0,6,No,105,679,10,-122.1585,37.6712,-122.2747,47.4684
Chicago,Columbia,Blue,34,Male,0,2005,0,1,Business travel,2,285,60,Eco,16,2/16/14,EV,FlyFast Airways Inc.,South Carolina,Illinois,9,0,1,No,117,667,1,-81.0772,34.0362,-87.8954,41.8271
Chicago,Salt Lake City,Silver,47,Male,2,2005,29,-0.6571,Business travel,2,0,30,Eco,11,02-11-14,MQ,EnjoyFlying Air Services,Utah,Illinois,16,0,0,No,148,1250,9,-111.9295,40.6408,-87.8954,41.8271
San Diego,Baltimore,Blue,39,Male,1,2011,10,-0.5385,Business travel,0,0,210,Eco,24,1/24/14,WN,Cheapseats Airlines Inc.,Maryland,California,8,0,0,No,307,2295,9,-76.6478,39.2341,-117.1288,32.9287
Phoenix,Des Moines,Blue,22,Female,2,2007,20,0.2157,Business travel,3,0,30,Eco,8,02-08-14,US,Southeast Airlines Co.,Iowa,Arizona,7,6,57,No,169,1149,7,-93.6561,41.6194,-111.97,33.4941
San Diego,San Francisco,Blue,56,Male,1,2012,57,-0.7273,Personal Travel,0,0,65,Eco,18,3/18/14,WN,Cheapseats Airlines Inc.,California,California,20,33,26,No,66,447,4,-122.1585,37.6712,-117.1288,32.9287
Dallas,Houston,Blue,47,Male,1,2006,20,-0.4815,Mileage tickets,0,60,20,Eco,18,3/18/14,EV,FlyFast Airways Inc.,Texas,Texas,15,0,0,No,38,216,4,-95.3935,29.7843,-96.972,32.8127
Charlotte,Las Vegas,Blue,54,Female,1,2007,9,-0.6364,Business travel,0,0,45,Eco,2,01-02-14,US,Southeast Airlines Co.,Nevada,North Carolina,1,0,0,No,216,1916,7,-115.1672,36.1349,-80.8158,35.2497
Phoenix,Indianapolis,Blue,19,Female,2,2004,18,-0.3333,Mileage tickets,1,0,15,Eco,1,01-01-14,WN,Cheapseats Airlines Inc.,Indiana,Arizona,8,6,6,No,217,1488,9,-86.1455,39.8113,-111.97,33.4941
Austin,Houston,Blue,62,Male,0,2003,18,-0.8,Business travel,1,0,90,Business,30,3/30/14,OO,Northwest Business Airlines Inc.,Texas,Texas,14,30,29,No,28,140,7,-95.3935,29.7843,-97.7615,30.3585
Buffalo,Atlanta,Blue,80,Female,1,2003,36,-0.9459,Personal Travel,0,0,60,Eco,2,02-02-14,DL,Sigma Airlines Inc.,Georgia,New York,8,0,5,No,85,712,4,-84.3319,33.8241,-78.8237,42.9249
Houston,Charlotte,Blue,63,Female,2,2011,30,-0.5385,Personal Travel,0,0,165,Eco,23,3/23/14,US,Southeast Airlines Co.,North Carolina,Texas,20,0,27,No,158,912,2,-80.8158,35.2497,-95.3935,29.7843
Portland,Phoenix,Blue,74,Female,1,2009,30,-0.5385,Personal Travel,0,0,105,Eco,27,1/27/14,US,Southeast Airlines Co.,Arizona,Oregon,11,0,0,No,143,1009,7,-111.97,33.4941,-122.6511,45.5204
San Juan,Miami,Blue,15,Female,1,2011,8,0,Personal Travel,3,0,118,Eco Plus,18,2/18/14,AA,Paul Smith Airlines Inc.,Florida,Puerto Rico,11,0,0,No,124,1045,8,-80.2314,26.1756,-66.1162,18.2882
Oklahoma City,Dallas,Blue,61,Female,2,2005,13,-0.1304,Personal Travel,0,0,15,Eco,5,03-05-14,WN,Cheapseats Airlines Inc.,Texas,Oklahoma,21,0,0,No,41,181,5,-96.972,32.8127,-97.5243,35.5048
San Diego,Salt Lake City,Blue,32,Female,2,2008,13,0.0714,Business travel,3,0,125,Eco,16,1/16/14,DL,Sigma Airlines Inc.,Utah,California,11,0,0,No,81,626,8,-111.9295,40.6408,-117.1288,32.9287
Houston,Shreveport,Silver,33,Female,1,2003,10,-0.5385,Business travel,0,47,60,Business,26,2/26/14,EV,FlyFast Airways Inc.,Louisiana,Texas,5,0,0,No,41,192,7,-93.7562,32.4873,-95.3935,29.7843
Salt Lake City,Kansas City,Blue,17,Female,1,2009,26,-0.3333,Business travel,2,0,45,Eco,20,3/20/14,OO,Northwest Business Airlines Inc.,Missouri,Utah,14,0,0,No,142,920,7,-94.5949,39.0398,-111.9295,40.6408
Seattle,Ketchikan,Blue,38,Female,1,2003,32,-0.7297,Business travel,2,107,30,Eco Plus,5,02-05-14,AS,FlyToSun Airlines Inc.,Alaska,Washington,13,0,0,No,88,680,7,-131.6563,55.3472,-122.2747,47.4684
Oklahoma City,Denver,Blue,42,Female,2,2006,18,-0.2857,Personal Travel,0,90,180,Eco,31,1/31/14,WN,Cheapseats Airlines Inc.,Colorado,Oklahoma,16,0,6,No,69,495,8,-104.9551,39.7108,-97.5243,35.5048
Las Vegas,New York,Platinum,80,Male,2,2009,31,-0.6757,Personal Travel,0,0,90,Eco,11,01-11-14,B6,OnlyJets Airlines Inc.,New York,Nevada,9,19,59,No,309,2248,5,-73.9702,40.7184,-115.1672,36.1349
Birmingham,Miami,Blue,18,Female,1,2003,19,-0.9,Personal Travel,0,0,60,Eco Plus,22,1/22/14,MQ,EnjoyFlying Air Services,Florida,Alabama,10,0,0,No,97,661,4,-80.2314,26.1756,-86.792,33.4691
Las Vegas,Minneapolis,Blue,17,Male,2,2003,35,-0.6279,Personal Travel,1,18,20,Eco,5,03-05-14,DL,Sigma Airlines Inc.,Minnesota,Nevada,19,0,0,No,167,1299,6,-93.2798,44.9782,-115.1672,36.1349
Orlando,Washington,Silver,48,Female,2,2004,13,-0.625,Business travel,0,1,115,Eco Plus,27,3/27/14,OU,Oursin Airlines Inc.,Virginia,Florida,10,0,0,No,112,758,9,-77.1897,38.8974,-81.4112,28.5844
Chicago,Philadelphia,Platinum,52,Female,1,2011,7,-0.4,Business travel,1,40,0,Eco,4,01-04-14,WN,Cheapseats Airlines Inc.,Pennsylvania,Illinois,11,136,140,No,109,668,9,-75.2984,39.9733,-87.8954,41.8271
San Francisco,Los Angeles,Silver,45,Female,1,2003,10,0.1667,Business travel,3,30,60,Eco,16,2/16/14,OU,Oursin Airlines Inc.,California,California,6,4,0,No,59,337,9,-118.1043,33.9827,-122.1585,37.6712
Baltimore,Orlando,Blue,57,Female,0,2004,1,0.7143,Business travel,0,0,25,Eco Plus,1,01-01-14,FL,FlyHere Airways,Florida,Maryland,15,279,276,No,97,787,9,-81.4112,28.5844,-76.6478,39.2341
Baltimore,Houston,Blue,41,Male,1,2003,46,-0.7358,Business travel,0,10,45,Eco,5,03-05-14,WN,Cheapseats Airlines Inc.,Texas,Maryland,15,33,36,No,153,1246,7,-95.3935,29.7843,-76.6478,39.2341
Washington,Chicago,Blue,45,Male,2,2005,17,-0.0303,Business travel,2,0,60,Eco,6,02-06-14,OU,Oursin Airlines Inc.,Illinois,Virginia,6,0,0,No,81,612,10,-87.8954,41.8271,-77.1897,38.8974
Atlanta,New York,Blue,22,Female,1,2003,13,-0.1818,Mileage tickets,0,20,80,Eco,18,2/18/14,DL,Sigma Airlines Inc.,New York,Georgia,17,0,0,No,114,760,10,-73.9702,40.7184,-84.3319,33.8241
Los Angeles,Seattle,Blue,69,Male,1,2007,28,-0.5135,Business travel,1,0,0,Eco,11,02-11-14,OO,Northwest Business Airlines Inc.,Washington,California,11,0,0,No,118,954,1,-122.2747,47.4684,-118.1043,33.9827
Tampa,Chicago,Blue,32,Female,2,2007,42,-0.68,Business travel,0,0,30,Eco,19,2/19/14,AA,Paul Smith Airlines Inc.,Illinois,Florida,11,0,0,No,119,1012,9,-87.8954,41.8271,-82.5132,28.0062
New York,Houston,Blue,51,Male,1,2008,17,-0.619,Business travel,0,0,0,Eco,17,1/17/14,OU,Oursin Airlines Inc.,Texas,New York,16,0,0,No,165,1416,4,-95.3935,29.7843,-73.9702,40.7184
Denver,Minneapolis,Silver,38,Female,1,2008,4,0.3333,Personal Travel,1,0,0,Eco,15,2/15/14,DL,Sigma Airlines Inc.,Minnesota,Colorado,9,0,0,No,110,680,8,-93.2798,44.9782,-104.9551,39.7108
Minot,Denver,Blue,39,Male,1,2012,6,0.2,Business travel,3,0,100,Eco,6,03-06-14,OO,Northwest Business Airlines Inc.,Colorado,North Dakota,19,0,0,No,79,604,10,-104.9551,39.7108,-101.2876,48.2338
Houston,Phoenix,Silver,54,Female,1,2009,16,-0.7778,Business travel,0,72,50,Eco,25,3/25/14,WN,Cheapseats Airlines Inc.,Arizona,Texas,11,20,9,No,121,1020,10,-111.97,33.4941,-95.3935,29.7843
Des Moines,Houston,Blue,57,Male,2,2004,9,0.0526,Business travel,2,0,60,Eco Plus,28,2/28/14,EV,FlyFast Airways Inc.,Texas,Iowa,19,2,9,No,115,802,1,-95.3935,29.7843,-93.6561,41.6194
